Üretici,Kök_Neden_TR,Çözüm_TR
HONDA,"Honda (American Honda Motor Co.), 2018-2020 Odyssey, 2019-2020 Pasaport ve 2019-2021 Pilot araçlarını geri çağırıyor.   Yanlış gösterge paneli kontrol modülü yazılımı, gösterge panelinin bir sonraki ateşleme çevrimine kadar motor yağı basıncı, hız göstergesi ve vites seçici konumu gibi kritik bilgileri görüntülememesine neden olabilir.  Ayrıca arka görüş kamerası görüntüsünün görüntülenmesini de engelleyebilir.  Bu nedenle, bu araçlar Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 101 numaralı ""Kontrol ve Ekranlar"" ve 111 numaralı ""Dikiz Aynaları"" gereksinimlerine uymamaktadır.",Honda araç sahiplerini bilgilendirecek ve bayiler gösterge paneli kontrol modülü yazılımını ücretsiz olarak yeniden programlayacak.  Geri çağırma 23 Eylül 2020'de başladı. Araç sahipleri 1-888-234-2138 numaralı telefondan Honda müşteri hizmetleriyle iletişime geçebilir.  Honda'nın bu geri çağırma numarası T89'dur.
HONDA,"Honda (American Honda Motor Co.), belirli 2018-2020 Accord Sedan, Accord Hybrid ve 2019-2020 Insight araçlarını geri çağırıyor.  Bir yazılım hatası, Karoseri Kontrol Modülü (BCM) ile diğer bileşenler arasındaki iletişimde aralıklı veya sürekli kesintilere neden olabilir.  Bu, ön cam silecekleri ve buz çözücü, geri görüş kamerası, dış aydınlatma, duran aracın sesli uyarısı ve elektrikli camın çalışması gibi çeşitli sistemlerde arızalara neden olabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı (FMVSS) 103, ""Ön Cam Buz Çözme ve Buğu Çözme Sistemleri"" ve 111, ""Arka Görünürlük"" ile 104, 108, 114, 118 ve 305 numaralı FMVSS gerekliliklerine uymamaktadır.",Honda araç sahiplerini bilgilendirecek ve bayiler BCM yazılımını ücretsiz olarak güncelleyecek.  Geri çağırmanın 22 Şubat 2021'de başlaması bekleniyor. Araç sahipleri 1-888-234-2138 numaralı telefondan Honda müşteri hizmetleriyle iletişime geçebilir.  Honda'nın bu geri çağırma numarası X95'tir.
FORD,"Ford Motor Company (Ford), bazı 2022-2023 F-150 BEV araçlarını geri çağırıyor.  Arka ışık çubuğunun dış lensinde nemin birikmesine izin veren mikro çatlaklar bulunabilir ve bu da geri vites lambalarının çalışmamasına veya titremesine neden olabilir.","Bayiler arka lamba çubuğunu ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 9 Ekim 2023'te postalandı. Araç sahipleri, 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 23S30'dur."
JAGUAR,"Jaguar Land Rover North America, LLC (Jaguar), belirli 2021-2022 F-Type, 2020-2021 F-Pace ve 2021 XF araçlarını geri çağırıyor.  Emniyet kemeri otomatik kilitleme toplayıcıları erken devre dışı kalabilir ve bu da çocuk emniyet sisteminin düzgün şekilde sabitlenmesini engelleyebilir.",Bayiler emniyet kemeri düzeneklerini gerektiği şekilde ücretsiz olarak inceleyecek ve değiştirecektir.  Sahip mektupları 20 Ekim 2021'de postalandı. Araç sahipleri 1-800-452-4827 numaralı telefondan Jaguar müşteri hizmetleriyle iletişime geçebilir.  Jaguar'ın bu geri çağırma numarası H378'dir.
CE WHITE,"Hickory Springs Manufacturing Company (HSM), 2 Şubat 2015 ile 1 Nisan 2015 tarihleri ​​arasında üretilen ve 26 inçten 45 inç genişliğe kadar değişen boyutlarda, İşlenmemiş Köpük Çekirdekli Okul Otobüsü Koltuğu Tabanı olarak tanımlanan Koltuk Alt Minder düzeneklerini içeren belirli CE Beyaz okul otobüsü koltuk düzeneklerini geri çağırıyor.  Etkilenen koltukların tam listesi için ürünler tablosuna bakın.  Etkilenen koltuklar, Federal Motorlu Taşıt Güvenlik Standardı (FMVSS) No. 302, ""İç Malzemelerin Yanıcılığı""nın yanıcılık gereksinimlerini karşılamayabilir.","HSM, etkilenen koltuk köpük dolgularını kullanan otobüs üreticilerini bilgilendirecek ve bayileri, okul otobüsü koltuk tabanlarını güvenlik standardına uygun köpükle ücretsiz olarak değiştirecek. Geri çağırma 1 Mayıs 2015'te başladı. Araç sahipleri 1-800-438-5341 numaralı telefondan HSM müşteri hizmetleriyle iletişime geçebilir."
OUTDOORS RV,"Outdoors RV Manufacturing (Outdoors RV), belirli 2025 20BD, 21MKS, 21RWS, 23BCS, 24KRS, 250RDS, 250RKS, 25DVS, 260KRS ve F28RKS seyahat treylerlerini geri çağırıyor.  Ocak ve fırın aynı anda çalıştırıldığında ocak alevi ters dönebilir.","Bayiler, fırın ile ocağı ayırmak için ücretsiz bir panel kuracak.  Sahip bildirim mektupları 5 Kasım 2024'te postalandı. Sahipler 1-541-962-1866 dahili numaradan Outdoors RV ile iletişime geçebilir. 222."
MERCEDES-MAYBACH,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
KIA,"Kia America, Inc. (Kia), belirli 2016-2017 Rio, 2016-2018 Optima, 2017-2018 Optima Hybrid ve Optima Plug-in Hybrid araçlarını geri çağırıyor.  Bagaj mandalı tabanı çatlayarak bagajın içeriden açılmasını engelleyebilir.  Bu nedenle bu araçlar, 401 numaralı Federal Motorlu Taşıt Güvenlik Standardı ""Dahili Bagaj Açma"" gerekliliklerine uymamaktadır.",Bayiler bagaj mandalı taban alt grubunu ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 19 Ekim 2023'te postalandı. Araç sahipleri 1-800-333-4542 numaralı telefondan Kia müşteri hizmetleriyle iletişime geçebilir.  Kia'nın bu geri çağırma numarası SC278'dir.
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
PRINX,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
ISUZU,"ISUZU, MAINE, NEW HAMPSHIRE, VERMONT, MASSACHUSETTS, Rhode Island, CONNECTICUT, NEW YORK, NEW JERSEY, PENNSYLVANIA, DELAWARE, MARYLAND, COLUMBIA BÖLGESİ, WEST VIRGINIA, OHIO, INDIANA, MICHIGAN, ILLINOIS, WISCONSIN, MINNESOTA, IOWA, MISSOURI VE KENTUCKY.   BU ARAÇLARDA SOL VEYA SAĞ ARKA SÜSPANSİYON ALT BAĞLANTISI İÇİN ÖN MONTAJ NOKTASI BRAKETİ ÇEVRESİNDE AŞIRI PASLANMA OLABİLİR.","BAYİLER ARKA SÜSPANSİYON ALT BAĞLANTI BRAKET ALANINI KONTROL EDECEKTİR.  PASLANMAZLIĞIN AZ VEYA HİÇ BULUNDUĞU ARAÇLARDA BÖLGEYE ANTİ-KOROZİF BİR MALZEME UYGULANACAKTIR.  PASLANMANIN ARKA SÜSPANSİYON ALT BAĞLANTI BRAKETİNE ZARAR VERMESİ VE ARAÇ ŞASİSİNE BAĞLANTISINI ETKİLEYEN ARAÇLAR İÇİN GÜÇLENDİRME BRAKETİ TAKILACAKTIR.  NADİR OLARAK PASLANMA O KADAR ŞİDDETLİ OLDUĞU DURUMDA, GÜÇLENDİRME BRAKETİ ÇÖZÜMÜ UYGUN OLMAYACAK, ISUZU ARACI KELLEY BLUE BOOK ÖZEL TARAF FİYATI ÜZERİNDEKİ BİR MİKTAR KARŞILIĞIYLA GERİ SATIN ALMA TEKLİFİ VERECEKTİR.  10 YAŞ VEYA DAHA KÜÇÜK ARAÇLAR İÇİN TÜM MUAYENE VE ÇÖZÜMLERİ ÜCRETSİZ YAPILACAKTIR.  10 YAŞINDAN ESKİ ARAÇLAR İÇİN ISUZU, SADECE ARAÇ SAHİBİ BİLDİRİMLERİNİN YAYINLANMASINDAN SONRA 12 AY İÇİNDE BİR ISUZU SERVİS TESİSİ BAYİSİNE SUNULMASI DURUMUNDA ÜCRETSİZ ÇÖZÜM SUNACAKTIR.  GERİ ÇAĞIRMA TEMMUZ 2012'DE BAŞLADI. ISUZU SAHİPLERİ 1-800-255-6727 TELEFONUNDA ISUZU İLE İLETİŞİME GEÇEBİLİR."
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
ELDORADO,"Eldorado National-California, Inc. (Eldorado National-California), sıkıştırılmış doğal gazla (CNG) çalışan bazı 2018-2020 EZ Rider, XHF ve Axess araçlarını geri çağırıyor.  CNG yakıt sistemine monte edilen termal olarak etkinleştirilen basınç tahliye cihazı (PRD'ler), ısıya maruz kaldığında sistemi havalandırmayabilir ve bu da potansiyel olarak sistemin bozulmasına neden olabilir.","Eldorado National-California, müşterileri bilgilendirmek ve PRD'leri ücretsiz olarak değiştirmek için Agility ile birlikte çalışacak.  Geri çağırma 15 Mayıs 2020'de başladı. Araç sahipleri, 1-949-267-7745 numaralı telefondan Agility müşteri hizmetleriyle veya 1-909-591-9557 numaralı telefondan Eldorado National-California müşteri hizmetleriyle iletişime geçebilir."
FOUR WINDS,"BU SEYAHAT RÖMORKLARI, TOPLAM RÖMORK AĞIRLIĞININ YÜZDESİNDE OLARAK ÇOK HAFİF BİR AĞIRLIĞA SAHİPTİR.",ENDÜSTRİ KILAVUZU TARAFINDAN ÖNERİLEN RÖMORK AĞIRLIĞININ BAĞLANTI AĞIRLIĞINA GÖRE YÜZDE 10'UNA ULAŞMAK VEYA BUNU AŞMAK İÇİN RÖMORK ÇERÇEVESİNİN BAĞLANTI KISMINA ÇELİK ÇUBUKLAR EKLENECEKTİR.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2019-2021 CLA-Serisi, GLE/GLS-Serisi, A-Serisi, E-Serisi, E-Serisi Coupe ve Cabrio, GLA/GLB-Serisi, GLC-Serisi, CLS-Serisi ve AMG GT-Serisi 4 kapılı Coupe araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  MBUX multimedya sistemi yazılımı, ekranın siyah kalmasına veya başlatma sonrasında yeniden başlatılmasına neden olabilir.  Bu, arka görüş kamerası görüntüsünün düzgün görüntülenmemesine neden olabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 111 numaralı ""Arka Görünürlük"" gerekliliklerine uymuyor.",Multimedya sistemi yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 28 Haziran 2021'den itibaren postaya verildi. Sahipler 1-800-367-6373 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021050012'dir.
LAND ROVER,"Jaguar Land Rover North America, LLC (Land Rover), 2021 Range Rover, 2022 Range Rover Sport, 2020-2021 Range Rover Velar, Discovery Sport, 2020-2022 Discovery ve Defender araçlarını geri çağırıyor.  Emniyet kemeri otomatik kilitleme toplayıcıları erken devre dışı kalabilir ve bu da çocuk emniyet sisteminin düzgün şekilde sabitlenmesini engelleyebilir.",Bayiler emniyet kemeri düzeneklerini gerektiği şekilde ücretsiz olarak inceleyecek ve değiştirecektir.  Sahip mektupları 20 Ekim 2021'de postalandı. Araç sahipleri 1-800-637-6837 numaralı telefondan Land Rover müşteri hizmetleriyle iletişime geçebilir.  Land Rover'ın bu geri çağırma numarası N630'dur.
THOMAS BUILT BUSES,"Daimler Trucks North America, LLC (DTNA), ISL veya L9 motorla donatılmış bazı 2016-2021 Thomas Build Buses Saf-T-Liner HDX transit otobüslerini geri çağırıyor.  Servo direksiyon hortumu, hortum ile güç kabloları arasında yetersiz açıklık kalacak şekilde yönlendirilmiş olabilir ve bu da hidrolik direksiyon hortumuna zarar verme potansiyeline sahiptir.","DTNA, hidrolik direksiyon hortumu güzergahını inceleyecek ve gerektiği şekilde ücretsiz olarak değiştirecektir.  Sahip bildirim mektuplarının 17 Ekim 2021'de postalanması bekleniyor. Sahipler, 1-800-547-0712 numaralı telefondan DTNA'nın müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL898'dir."
MACK,KAYNAK EKSİKLİKLERİ İKİ PARÇALI DİREKSİYON MONTAJ BRAKETİNİN İLERLEYEN AYRILMASINA NEDEN OLABİLİR.,DİREKSİYON DİŞLİSİ MONTAJ BRAKETLERİNİ DÜZGÜN KAYNAKLI BRAKETLERLE DEĞİŞTİRİN.
BMW,"BMW of North America, LLC (BMW), belirli 2006-2011 3 Serisi Sedan'ı (324i, 325i, 325xi, 328i, 328xi, 330i, 330xi, 335i, 335xi), 2006-2012 3 Serisi Sportswagon'u (325xi, 328i, 328xi), ve 2009-2011 3 Serisi Sedan (335d) araçlar.  Orijinal direksiyon simidi, açılma sırasında patlayabilecek şişiriciyle donatılmış bir spor veya M-spor direksiyon simidi ile değiştirilmiş olabilir.","Bayiler, gerektiğinde sürücü hava yastığı modülünü ücretsiz olarak inceleyecek ve değiştirecektir.  Sahip bildirim mektupları 30 Ağustos 2024'te postalandı. Araç sahipleri 1-800-525-7417 numaralı telefondan BMW müşteri hizmetleriyle iletişime geçebilir."
VOLKSWAGEN,"VOLKSWAGEN, 1 EYLÜL 2010'DAN 22 EYLÜL 2010'A KADAR ÜRETİLEN BELİRLİ 2010 MODEL YENİ BEETLE VE YENİ BEETLE Cabrio'yu, FEDERAL MOTORLU ARAÇLAR GÜVENLİK STANDARTLARI NO. 208, ""YOLCULARIN KAZA KORUMASI"", 1 EYLÜL 2010'DA YÜRÜRLÜĞE GİRDİ.","BAYİLER ARAÇLARINI 1 EYLÜL 2010'DAN ÖNCE ÜRETİLMİŞ, FMVSS 208 GEREKSİNİMLERİNE UYGUN OLAN BENZER BİR ARAÇLA DEĞİŞTİRMEYİ TEKLİF VERECEKLER.  GÜVENLİK GERİ ÇAĞIRMASI 28 OCAK 2011'DE BAŞLADI. SAHİPLER 1-800-822-8987 TELEFONUNDA VOLKSWAGEN İLE İLETİŞİME GEÇEBİLİR."
KENWORTH,"PACCAR Incorporated (PACCAR), belirli 2008-2019 Peterbilt 330, 335, 337, 340, 348, 365, 367, 384, 386, 387, 388, 389, 567, 579 ve 587 araçları ve 2008-2020 Kenworth'u geri çağırıyor NAMUX Yazılımı ile donatılmış T170, T270, T370, T660, T680, T800, T880 ve W900 araçları.  Kilitlenmeyi Önleyici Fren Sisteminin (ABS) aküsünü ve/veya kumandaya giden ateşleme gücünü kaybetmesi durumunda, ABS'nin gösterge tablosu uyarı ışığı sürücüyü ABS'nin kaybı konusunda uyarmak üzere yanmayabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı (FMVSS) 121 numaralı ""Havalı Fren Sistemleri"" ve 136 numaralı ""Ağır Araçlarda Elektronik Stabilite Kontrol Sistemi"" gerekliliklerine uymamaktadır.","PACCAR sahipleri bilgilendirecek ve bayiler kabin kontrol modülü içindeki NAMUX yazılımını ücretsiz olarak güncelleyecek.  PACCAR, sahiplere 4 Haziran 2020'de geçici bir bildirim yayınladı. Geri çağırma 26 Mayıs 2020'de başladı. Araç sahipleri, 1-425-828-5888 numaralı telefondan Kenworth müşteri hizmetleriyle veya 1-940-591-4220 numaralı telefondan Peterbilt müşteri hizmetleriyle iletişime geçebilir.  PACCAR'ın bu geri çağırmaya ilişkin numarası 20pbc VE 20KWB'dir."
TEMP AIR,"Sunbelt Rentals'ın (Temp-Air) bir bölümü olan Temp-Air, bazı 2020-2022 EBB-60 treylerlerini geri çağırıyor.  Römork dilleri kullanım sırasında deforme olabilir ve bükülebilir.",Bayiler römork dilini ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 25 Ağustos 2023'te postalandı. Sahipler 1-952-894-3000 numaralı telefondan Temp-Air müşteri hizmetleriyle iletişime geçebilir.  Temp-Air'in bu geri çağırmaya ilişkin numarası SB02-07'dir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
HINO,"Hino, 18 Ağustos 2003 ile 16 Kasım 2011 tarihleri arasında üretilen, 2005 ila 2013 yılları arasındaki belirli orta hizmet kamyonlarını, NA6J, NB6J, NC6J, ND8J, NE8J, NJ8J, NF8J ve NV8J modellerini geri çağırıyor. Zamanla aküden marş motoruna giden ana B+ devresi, sonuç olarak biriken aşınma nedeniyle potansiyel olarak toprağa kısa devre yapabilir. B+ devresi ile kıvrımlı boru kılıfı arasındaki girişim.",Hino araç sahiplerini bilgilendirecek ve bayiler araçları ücretsiz olarak onaracak.  Geri çağırma 17 Ocak 2013'te başladı. Araç sahipleri 1-248-699-9390 numaralı telefondan Hino ile iletişime geçebilir.
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
GMC,"AYRILMIŞ BİR MOTOR TAKOZUNUN, MOTORUN KALKMASINA İZİN VERMESİ OLASILIĞI MEVCUTTUR; BU, GAZ KELEBEĞİ BAĞLANTISINI ETKİLEYEBİLİR, GAZIN GEÇİCİ OLARAK ARTIRILMASI VE MUHTEMEL OLARAK TAM GAZA KADAR ARTMASI OLASILIĞIDIR.",MOTOR TAKOZLARINI KONTROL EDİN VE MOTORUN KALDIRILMASINI SINIRLAYACAK VE MOTOR TAKOZUNUN AYRILMASI NEDENİYLE GAZ KELEBEĞİ BAĞLANTISINA OLASI OLASI İKİNCİL ETKİLERİ ORTADAN KALDIRACAK KISITLAMALARI TAKIN.
FCCC,"Daimler Trucks North America LLC (DTNA), belirli 2018 Freightliner Custom Chassis XBP, 2017-2020 XBR, 2017-2022 XBS, 2016-2019 XCL, 2016-2023 XCM, 2017-2021 XCP, 2016-2023 XCR ve 2017-2023 XCS eğlence aracı şasisi.  Arkaya monte edilen Güç Dağıtım Modülünde (PDM) dahili hasar bulunabilir ve bu durum arka işaret lambalarının, fren lambalarının veya dönüş sinyallerinin çalışmamasına neden olabilir.","Bayi, ücretsiz olarak ikincil bir sigortalı donanım takacaktır.  Sahip bildirim mektupları 18 Mart 2022'de gönderildi. Sahipler 1-800-547-0712 numaralı telefondan DTNA müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL917'dir.  Bu geri çağırma, NHTSA'nın 20V-404 ve 18V-502 geri çağırmalarının bir uzantısıdır.  Daha önce geri çağrılan araçların, mevcut olduğunda yeni çözüm onarımını alması gerekecektir."
LEXUS,"Toyota Motor Engineering & Manufacturing (Toyota), Panoramik Görüntü Monitörü (PVM) sistemi ile donatılmış bazı 2022-2026 Toyota, Lexus ve Subaru Solterra araçlarını geri çağırıyor. Modellerin tam listesi için lütfen geri çağırma raporuna bakın. Bir yazılım hatası, araç geri vitesteyken arka görüş kamerasının donmasına veya boş bir ekran görüntülemesine neden olabilir. Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 111 numaralı ""Arka Görünürlük"" gerekliliklerine uymuyor.",Bayiler park yardımı yazılımını ücretsiz olarak güncelleyecektir. Güvenlik riski sahiplerini bilgilendiren geçici mektupların 16 Aralık 2025'te postalanması bekleniyor. Nihai çözüm mevcut olduğunda ek mektuplar gönderilecek. Araç sahipleri 1-800-331-4331 numaralı telefondan Toyota'nın müşteri hizmetleriyle iletişime geçebilir. Toyota'nın bu geri çağırmaya ilişkin numaraları 25TB13 ve 25LB06'dır. Subaru'nun bu geri çağırma numarası WRE25'tir.
VAC-TRON,"Vac-Tron Ekipmanları, LLC. Vermeer Manufacturing Company'nin (Vermeer) bir yan kuruluşu olan (Vac-Tron), belirli 2016-2020 Vac-Tron CS500DT, CS570GT, CS573GT, CS1270GT, CS1270SGT, CS1273GT ve CS800DT Vakumlu Ekskavatör treylerlerini geri çağırıyor.  Ön mesafe lambaları yanlış yerleştirilmiş olabilir ve yanlara ve arkaya yetersiz miktarda dikkat çekici bant uygulanmış olabilir.  Römorklarda ayrıca yan veya arka refleks reflektörler bulunmayabilir.  Bu nedenle, bu araçlar Federal Motorlu Taşıt Güvenliği Standardı Sayı 108, ""Lambalar, Yansıtıcı Cihazlar ve İlgili Ekipmanlar"" ile uyumlu değildir.","Vac-Tron, sahiplerini bilgilendirecek ve Vermeer bayileri, Vac-Tron tarafından sağlanan çözüm kitlerini ücretsiz olarak kuracak. Bu geri çağırma 14 Temmuz 2020'de başladı. Araç sahipleri, 1-888-822-8766 numaralı telefondan Vac-Tron müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için Vac-Tron'un numarası VVK0008'dir."
